elapsed=0, initial=30, delta=-30, duration=300.0, res=30
elapsed=0, initial=46, delta=0, duration=300.0, res=46
elapsed=16, initial=30, delta=-30, duration=300.0, res=29
elapsed=16, initial=46, delta=0, duration=300.0, res=46
elapsed=40, initial=30, delta=-30, duration=300.0, res=28
elapsed=40, initial=46, delta=0, duration=300.0, res=46
elapsed=64, initial=30, delta=-30, duration=300.0, res=26
elapsed=64, initial=46, delta=0, duration=300.0, res=46
elapsed=85, initial=30, delta=-30, duration=300.0, res=24
elapsed=85, initial=46, delta=0, duration=300.0, res=46
elapsed=101, initial=30, delta=-30, duration=300.0, res=22
elapsed=101, initial=46, delta=0, duration=300.0, res=46
elapsed=117, initial=30, delta=-30, duration=300.0, res=20
elapsed=117, initial=46, delta=0, duration=300.0, res=46
elapsed=133, initial=30, delta=-30, duration=300.0, res=17
elapsed=133, initial=46, delta=0, duration=300.0, res=46
elapsed=149, initial=30, delta=-30, duration=300.0, res=15
elapsed=149, initial=46, delta=0, duration=300.0, res=46
elapsed=166, initial=30, delta=-30, duration=300.0, res=12
elapsed=166, initial=46, delta=0, duration=300.0, res=46
elapsed=182, initial=30, delta=-30, duration=300.0, res=10
elapsed=182, initial=46, delta=0, duration=300.0, res=46
elapsed=198, initial=30, delta=-30, duration=300.0, res=7
elapsed=198, initial=46, delta=0, duration=300.0, res=46
elapsed=214, initial=30, delta=-30, duration=300.0, res=5
elapsed=214, initial=46, delta=0, duration=300.0, res=46
elapsed=230, initial=30, delta=-30, duration=300.0, res=3
elapsed=230, initial=46, delta=0, duration=300.0, res=46
elapsed=246, initial=30, delta=-30, duration=300.0, res=2
elapsed=246, initial=46, delta=0, duration=300.0, res=46
elapsed=262, initial=30, delta=-30, duration=300.0, res=1
elapsed=262, initial=46, delta=0, duration=300.0, res=46
elapsed=279, initial=30, delta=-30, duration=300.0, res=0
elapsed=279, initial=46, delta=0, duration=300.0, res=46
elapsed=294, initial=30, delta=-30, duration=300.0, res=0
elapsed=294, initial=46, delta=0, duration=300.0, res=46
elapsed=300, initial=30, delta=-30, duration=300.0, res=0
elapsed=300, initial=46, delta=0, duration=300.0, res=46
elapsed=0, initial=1, delta=29, duration=500, res=1
elapsed=0, initial=40, delta=0, duration=500, res=40
elapsed=18, initial=1, delta=29, duration=500, res=1
elapsed=18, initial=40, delta=0, duration=500, res=40
elapsed=38, initial=1, delta=29, duration=500, res=1
elapsed=38, initial=40, delta=0, duration=500, res=40
elapsed=60, initial=1, delta=29, duration=500, res=1
elapsed=60, initial=40, delta=0, duration=500, res=40
elapsed=76, initial=1, delta=29, duration=500, res=1
elapsed=76, initial=40, delta=0, duration=500, res=40
elapsed=90, initial=1, delta=29, duration=500, res=1
elapsed=90, initial=40, delta=0, duration=500, res=40
elapsed=105, initial=1, delta=29, duration=500, res=1
elapsed=105, initial=40, delta=0, duration=500, res=40
elapsed=122, initial=1, delta=29, duration=500, res=1
elapsed=122, initial=40, delta=0, duration=500, res=40
elapsed=138, initial=1, delta=29, duration=500, res=1
elapsed=138, initial=40, delta=0, duration=500, res=40
elapsed=153, initial=1, delta=29, duration=500, res=1
elapsed=153, initial=40, delta=0, duration=500, res=40
elapsed=169, initial=1, delta=29, duration=500, res=1
elapsed=169, initial=40, delta=0, duration=500, res=40
elapsed=186, initial=1, delta=29, duration=500, res=1
elapsed=186, initial=40, delta=0, duration=500, res=40
elapsed=202, initial=1, delta=29, duration=500, res=1
elapsed=202, initial=40, delta=0, duration=500, res=40
elapsed=219, initial=1, delta=29, duration=500, res=1
elapsed=219, initial=40, delta=0, duration=500, res=40
elapsed=234, initial=1, delta=29, duration=500, res=1
elapsed=234, initial=40, delta=0, duration=500, res=40
elapsed=251, initial=1, delta=29, duration=500, res=1
elapsed=251, initial=40, delta=0, duration=500, res=40
elapsed=267, initial=1, delta=29, duration=500, res=1
elapsed=267, initial=40, delta=0, duration=500, res=40
elapsed=282, initial=1, delta=29, duration=500, res=1
elapsed=282, initial=40, delta=0, duration=500, res=40
elapsed=299, initial=1, delta=29, duration=500, res=1
elapsed=299, initial=40, delta=0, duration=500, res=40
elapsed=314, initial=1, delta=29, duration=500, res=1
elapsed=314, initial=40, delta=0, duration=500, res=40
elapsed=330, initial=1, delta=29, duration=500, res=1
elapsed=330, initial=40, delta=0, duration=500, res=40
elapsed=347, initial=1, delta=29, duration=500, res=1
elapsed=347, initial=40, delta=0, duration=500, res=40
elapsed=363, initial=1, delta=29, duration=500, res=1
elapsed=363, initial=40, delta=0, duration=500, res=40
elapsed=379, initial=1, delta=29, duration=500, res=1
elapsed=379, initial=40, delta=0, duration=500, res=40
elapsed=395, initial=1, delta=29, duration=500, res=1
elapsed=395, initial=40, delta=0, duration=500, res=40
elapsed=411, initial=1, delta=29, duration=500, res=1
elapsed=411, initial=40, delta=0, duration=500, res=40
elapsed=427, initial=1, delta=29, duration=500, res=1
elapsed=427, initial=40, delta=0, duration=500, res=40
elapsed=442, initial=1, delta=29, duration=500, res=1
elapsed=442, initial=40, delta=0, duration=500, res=40
elapsed=459, initial=1, delta=29, duration=500, res=1
elapsed=459, initial=40, delta=0, duration=500, res=40
elapsed=475, initial=1, delta=29, duration=500, res=1
elapsed=475, initial=40, delta=0, duration=500, res=40
elapsed=491, initial=1, delta=29, duration=500, res=1
elapsed=491, initial=40, delta=0, duration=500, res=40
elapsed=500, initial=1, delta=29, duration=500, res=30
elapsed=500, initial=40, delta=0, duration=500, res=40
elapsed=0, initial=30, delta=-30, duration=500, res=30
elapsed=0, initial=40, delta=0, duration=500, res=40
elapsed=15, initial=30, delta=-30, duration=500, res=30
elapsed=15, initial=40, delta=0, duration=500, res=40
elapsed=31, initial=30, delta=-30, duration=500, res=30
elapsed=31, initial=40, delta=0, duration=500, res=40
elapsed=47, initial=30, delta=-30, duration=500, res=30
elapsed=47, initial=40, delta=0, duration=500, res=40
elapsed=63, initial=30, delta=-30, duration=500, res=30
elapsed=63, initial=40, delta=0, duration=500, res=40
elapsed=79, initial=30, delta=-30, duration=500, res=30
elapsed=79, initial=40, delta=0, duration=500, res=40
elapsed=95, initial=30, delta=-30, duration=500, res=30
elapsed=95, initial=40, delta=0, duration=500, res=40
elapsed=111, initial=30, delta=-30, duration=500, res=30
elapsed=111, initial=40, delta=0, duration=500, res=40
elapsed=127, initial=30, delta=-30, duration=500, res=30
elapsed=127, initial=40, delta=0, duration=500, res=40
elapsed=143, initial=30, delta=-30, duration=500, res=30
elapsed=143, initial=40, delta=0, duration=500, res=40
elapsed=159, initial=30, delta=-30, duration=500, res=30
elapsed=159, initial=40, delta=0, duration=500, res=40
elapsed=175, initial=30, delta=-30, duration=500, res=30
elapsed=175, initial=40, delta=0, duration=500, res=40
elapsed=191, initial=30, delta=-30, duration=500, res=30
elapsed=191, initial=40, delta=0, duration=500, res=40
elapsed=207, initial=30, delta=-30, duration=500, res=30
elapsed=207, initial=40, delta=0, duration=500, res=40
elapsed=223, initial=30, delta=-30, duration=500, res=30
elapsed=223, initial=40, delta=0, duration=500, res=40
elapsed=239, initial=30, delta=-30, duration=500, res=30
elapsed=239, initial=40, delta=0, duration=500, res=40
elapsed=255, initial=30, delta=-30, duration=500, res=30
elapsed=255, initial=40, delta=0, duration=500, res=40
elapsed=271, initial=30, delta=-30, duration=500, res=30
elapsed=271, initial=40, delta=0, duration=500, res=40
elapsed=287, initial=30, delta=-30, duration=500, res=30
elapsed=287, initial=40, delta=0, duration=500, res=40
elapsed=303, initial=30, delta=-30, duration=500, res=30
elapsed=303, initial=40, delta=0, duration=500, res=40
elapsed=319, initial=30, delta=-30, duration=500, res=30
elapsed=319, initial=40, delta=0, duration=500, res=40
elapsed=336, initial=30, delta=-30, duration=500, res=30
elapsed=336, initial=40, delta=0, duration=500, res=40
elapsed=351, initial=30, delta=-30, duration=500, res=30
elapsed=351, initial=40, delta=0, duration=500, res=40
elapsed=367, initial=30, delta=-30, duration=500, res=30
elapsed=367, initial=40, delta=0, duration=500, res=40
elapsed=383, initial=30, delta=-30, duration=500, res=30
elapsed=383, initial=40, delta=0, duration=500, res=40
elapsed=399, initial=30, delta=-30, duration=500, res=30
elapsed=399, initial=40, delta=0, duration=500, res=40
elapsed=415, initial=30, delta=-30, duration=500, res=30
elapsed=415, initial=40, delta=0, duration=500, res=40
elapsed=431, initial=30, delta=-30, duration=500, res=30
elapsed=431, initial=40, delta=0, duration=500, res=40
elapsed=447, initial=30, delta=-30, duration=500, res=30
elapsed=447, initial=40, delta=0, duration=500, res=40
elapsed=463, initial=30, delta=-30, duration=500, res=30
elapsed=463, initial=40, delta=0, duration=500, res=40
elapsed=479, initial=30, delta=-30, duration=500, res=30
elapsed=479, initial=40, delta=0, duration=500, res=40
elapsed=495, initial=30, delta=-30, duration=500, res=30
elapsed=495, initial=40, delta=0, duration=500, res=40
elapsed=500, initial=30, delta=-30, duration=500, res=0
elapsed=500, initial=40, delta=0, duration=500, res=40
elapsed=0, initial=1, delta=29, duration=1000, res=1
elapsed=0, initial=40, delta=0, duration=1000, res=40
elapsed=16, initial=1, delta=29, duration=1000, res=1
elapsed=16, initial=40, delta=0, duration=1000, res=40
elapsed=40, initial=1, delta=29, duration=1000, res=1
elapsed=40, initial=40, delta=0, duration=1000, res=40
elapsed=63, initial=1, delta=29, duration=1000, res=1
elapsed=63, initial=40, delta=0, duration=1000, res=40
elapsed=78, initial=1, delta=29, duration=1000, res=1
elapsed=78, initial=40, delta=0, duration=1000, res=40
elapsed=91, initial=1, delta=29, duration=1000, res=1
elapsed=91, initial=40, delta=0, duration=1000, res=40
elapsed=107, initial=1, delta=29, duration=1000, res=1
elapsed=107, initial=40, delta=0, duration=1000, res=40
elapsed=123, initial=1, delta=29, duration=1000, res=1
elapsed=123, initial=40, delta=0, duration=1000, res=40
elapsed=139, initial=1, delta=29, duration=1000, res=1
elapsed=139, initial=40, delta=0, duration=1000, res=40
elapsed=156, initial=1, delta=29, duration=1000, res=1
elapsed=156, initial=40, delta=0, duration=1000, res=40
elapsed=172, initial=1, delta=29, duration=1000, res=1
elapsed=172, initial=40, delta=0, duration=1000, res=40
elapsed=187, initial=1, delta=29, duration=1000, res=1
elapsed=187, initial=40, delta=0, duration=1000, res=40
elapsed=204, initial=1, delta=29, duration=1000, res=1
elapsed=204, initial=40, delta=0, duration=1000, res=40
elapsed=219, initial=1, delta=29, duration=1000, res=1
elapsed=219, initial=40, delta=0, duration=1000, res=40
elapsed=235, initial=1, delta=29, duration=1000, res=1
elapsed=235, initial=40, delta=0, duration=1000, res=40
elapsed=252, initial=1, delta=29, duration=1000, res=1
elapsed=252, initial=40, delta=0, duration=1000, res=40
elapsed=267, initial=1, delta=29, duration=1000, res=1
elapsed=267, initial=40, delta=0, duration=1000, res=40
elapsed=283, initial=1, delta=29, duration=1000, res=1
elapsed=283, initial=40, delta=0, duration=1000, res=40
elapsed=300, initial=1, delta=29, duration=1000, res=1
elapsed=300, initial=40, delta=0, duration=1000, res=40
